"is_challenger","match_id","game_length","placement","level","last_round","gold_left","n_legend","avg_unit_level","board_cost","match_avg_unit_level","match_avg_board_cost"
"Challenger","NA1_4801331041",2328,"1","9",40,1,"0",1.88888888888889,46,1.91145833333333,42.25
"Master/Grandmaster","NA1_4801331041",2328,"4","7",34,1,"0",2.14285714285714,38,1.91145833333333,42.25
"Challenger","NA1_4801331041",2328,"2","9",40,6,"1",1.77777777777778,56,1.91145833333333,42.25
"Master/Grandmaster","NA1_4801334185",1960,"7","8",30,37,"1",1.625,33,1.90798611111111,44.5
"Master/Grandmaster","NA1_4801334185",1960,"8","9",28,2,"1",1.44444444444444,38,1.90798611111111,44.5
"Master/Grandmaster","NA1_4801334185",1960,"3","7",34,1,"0",2.22222222222222,46,1.90798611111111,44.5
"Master/Grandmaster","NA1_4801340564",2206,"6","7",30,0,"0",2.28571428571429,36,2.17832341269841,43.875
"Challenger","NA1_4801340564",2206,"3","7",35,1,"0",2.85714285714286,44,2.17832341269841,43.875
"Challenger","NA1_4801340564",2206,"2","8",40,13,"1",2,62,2.17832341269841,43.875
"Challenger","NA1_4801341867",2338,"6","7",30,0,"0",1.85714285714286,35,1.9890873015873,45
"Master/Grandmaster","NA1_4801341867",2338,"4","8",34,0,"0",2.25,45,1.9890873015873,45
"Challenger","NA1_4801341867",2338,"1","8",41,1,"1",2.11111111111111,49,1.9890873015873,45
"Master/Grandmaster","NA1_4801347646",2017,"4","7",33,0,"1",2.42857142857143,43,1.92063492063492,36
"Master/Grandmaster","NA1_4801347646",2017,"1","9",35,1,"1",1.66666666666667,40,1.92063492063492,36
"Master/Grandmaster","NA1_4801347646",2017,"7","6",26,1,"1",1.66666666666667,25,1.92063492063492,36
"Challenger","NA1_4801348286",2250,"6","9",33,6,"0",1.55555555555556,45,1.81150793650794,44.25
"Challenger","NA1_4801348286",2250,"7","7",33,1,"1",1.71428571428571,30,1.81150793650794,44.25
"Challenger","NA1_4801348286",2250,"1","9",38,13,"0",1.77777777777778,60,1.81150793650794,44.25
"Master/Grandmaster","NA1_4801351327",2112,"1","9",35,11,"1",1.88888888888889,57,1.93993055555556,46.125
"Master/Grandmaster","NA1_4801351327",2112,"8","7",24,2,"1",1.75,31,1.93993055555556,46.125
"Master/Grandmaster","NA1_4801351327",2112,"2","8",35,0,"0",2.375,50,1.93993055555556,46.125
"Master/Grandmaster","NA1_4801353659",2192,"4","9",33,0,"1",1.66666666666667,50,1.89761904761905,44.5
"Master/Grandmaster","NA1_4801353659",2192,"6","7",26,10,"0",2,39,1.89761904761905,44.5
"Challenger","NA1_4801353659",2192,"8","8",24,1,"1",1.375,37,1.89761904761905,44.5
"Master/Grandmaster","NA1_4801354747",2422,"1","8",41,1,"0",1.88888888888889,51,1.79905753968254,41.5
"Master/Grandmaster","NA1_4801354747",2422,"2","8",41,1,"1",2.125,43,1.79905753968254,41.5
"Master/Grandmaster","NA1_4801354747",2422,"3","8",37,51,"0",1.625,42,1.79905753968254,41.5
"Master/Grandmaster","NA1_4801357163",2225,"7","8",28,3,"1",1.5,38,1.8858630952381,50.625
"Challenger","NA1_4801357163",2225,"5","7",33,0,"1",2.28571428571429,39,1.8858630952381,50.625
